,grade,title,genre
24,9.6,白色巨塔 白い巨塔,剧情
25,9.5,北国之恋 北の国から,剧情
26,9.5,假面骑士空我 仮面ライダークウガ,剧情
27,9.4,胜者即是正义 リーガル・ハイ,剧情
22,9.4,冷暖人间 第三部 渡る世间は鬼ばかり 第3シリーズ,剧情
21,9.4,假面骑士BLACK RX 仮面ライダーBLACK RX,剧情
28,9.4,非自然死亡 アンナチュラル,剧情
1,9.4,奈克瑟斯奥特曼 ウルトラマンネクサス,剧情
495,9.4,孤独的美食家 第八季 孤独のグルメ Season8,剧情
3,9.4,假面骑士BLACK 仮面ライダーBLACK,剧情
46,9.3,虎与龙 タイガー&ドラゴン,剧情
47,9.3,轻轻紧握你的手 君の手がささやいている,剧情
35,9.3,火花,剧情
34,9.3,绅士刑警3 警部補古畑任三郎 3rd season,剧情
33,9.3,铃兰 すずらん,剧情
48,9.3,海女 あまちゃん,剧情
129,9.3,孤独的美食家 第六季 孤独のグルメ Season6,剧情
2,9.3,仁医 完结篇 JIN-仁2,剧情
44,9.3,假面骑士龙骑 仮面ライダー龍騎,剧情
496,9.3,孤独的美食家 第七季 孤独のグルメ Season7,剧情
23,9.3,续倒数第二次恋爱 続・最後から二番目の恋,剧情
4,9.3,西瓜 すいか,剧情
20,9.3,母亲 Mother,剧情
45,9.2,孤独的美食家 第四季 孤独のグルメ Season4,剧情
68,9.2,未成年,剧情
58,9.2,剧的纪行 深夜特急 劇的紀行 深夜特急,剧情
56,9.2,深夜食堂：东京故事2 深夜食堂 ‐Tokyo Stories Season2‐,剧情
55,9.2,世纪末之诗 世紀末の詩,剧情
53,9.2,孤独的美食家 第三季 孤独のグルメ Season3,剧情
50,9.2,坂上之云 第二部 坂の上の雲 第2部,剧情
57,9.2,深夜食堂,剧情
42,9.2,京都人秘密的欢愉 京都人の密かな愉しみ,剧情
40,9.2,假面骑士AGITO 仮面ライダーアギト,剧情
39,9.2,坂上之云 第三部 坂の上の雲 第3部,剧情
37,9.2,悠长假期 ロングバケーション,剧情
30,9.2,冷暖人间 第一部 渡る世間は鬼ばかり 第1シリーズ,剧情
31,9.2,世界奇妙物语 世にも奇妙な物語,剧情
64,9.1,我是大哥大 今日から俺は！！,剧情
73,9.1,坂上之云 第一部 坂の上の雲 第1部,剧情
70,9.1,敬启，父亲大人 拝啓、父上樣,剧情
69,9.1,玻璃假面 ガラスの仮面,剧情
67,9.1,孤独的美食家 第二季 孤独のグルメ Season2,剧情
66,9.1,重版出来！,剧情
65,9.1,半泽直树 半沢直樹,剧情
74,9.1,四重奏 カルテット,剧情
63,9.1,深夜食堂2,剧情
77,9.1,倒数第二次恋爱 最後から二番目の恋,剧情
76,9.1,导盲犬小Q之一生 盲導犬クィールの一生,剧情
5,9.1,假面骑士剑 仮面ライダー剣,剧情
6,9.1,交响情人梦 のだめカンタービレ,剧情
130,9.1,鸢 とんび,剧情
99,9.0,仁医 JIN-仁-,剧情
98,9.0,跳跃大搜查线 踊る大捜査線,剧情
104,9.0,白线流 白線流し,剧情
131,9.0,温柔时刻 優しい時間,剧情
106,9.0,人间失格：假如我死的话 人間・失格～たとえばぼくが死んだら,剧情
107,9.0,昨夜的咖喱 明日的面包 昨夜のカレー 明日のパン,剧情
96,9.0,木更津猫眼 木更津キャッツアイ,剧情
108,9.0,排球女将 燃えろアタック,剧情
97,9.0,对不起青春 ごめんね青春！,剧情
81,9.0,我的恐怖妻子 僕のヤバイ妻,剧情
79,9.0,Liquid～鬼之酒 奇迹酿酒人 リキッド～鬼の酒 奇跡の蔵～,剧情
61,9.0,回首又见他 振り返れば奴がいる,剧情
83,9.0,真幌站前番外地 まほろ駅前番外地,剧情
82,9.0,阿信 おしん,剧情
60,9.0,X医生：外科医生大门未知子 第6季 ドクターX～外科医・大門未知子〜,剧情
78,9.0,坡道上的家 坂の途中の家,剧情
118,8.9,女王的教室 女王の教室,剧情
119,8.9,交响情人梦之欧洲特别篇 のだめカンタービレ in ヨーロッパ,剧情
121,8.9,产科医鸿鸟2 コウノドリ2,剧情
122,8.9,凪的新生活 凪のお暇,剧情
123,8.9,最后的礼物 ラストプレゼント～娘と生きる最後の夏～,剧情
85,8.9,金田一少年事件簿1 金田一少年の事件簿 第1シリーズ,剧情
116,8.9,假面骑士01 仮面ライダーゼロワン,剧情
126,8.9,医龙 医龍～Team Medical Dragon～,剧情
9,8.9,相棒 第18季 相棒 season18,剧情
11,8.9,圣者的行进 聖者の行進,剧情
12,8.9,火之鸟 火の鳥,剧情
133,8.9,风之庭院 風のガーデン,剧情
117,8.9,康乃馨 カーネーション,剧情
113,8.9,最完美的离婚 最高の離婚,剧情
115,8.9,深夜食堂3,剧情
114,8.9,孤独的美食家 第一季 孤独のグルメ Season1,剧情
86,8.9,高校教师 高校教師,剧情
110,8.9,产科医鸿鸟 コウノドリ,剧情
8,8.9,1公升的泪 1リットルの涙,剧情
141,8.9,假面骑士 仮面ライダー,剧情
166,8.8,与光同行 光とともに…～自閉症児を抱えて～,剧情
165,8.8,不需要爱的夏天 愛なんていらねえよ、夏,剧情
168,8.8,恋爱奇迹 恋の奇跡,剧情
164,8.8,太平记 太平記,剧情
163,8.8,紧急救命2 コード・ブルー～ドクターヘリ緊急救命 2nd season,剧情
161,8.8,律政英雄 HERO,剧情
160,8.8,问题餐厅 問題のあるレストラン,剧情
169,8.8,我家的历史 わが家の歴史,剧情
170,8.8,家族的形式 家族ノカタチ,剧情
192,8.8,假面骑士V3 仮面ライダーV3,剧情
173,8.8,勇者义彦与魔王城 勇者ヨシヒコと魔王の城,剧情
177,8.8,为了N Nのために,剧情
178,8.8,深夜食堂：东京故事 深夜食堂 -Tokyo Stories-,剧情
179,8.8,圈套3 トリック3,剧情
180,8.8,永远的孩子 永遠の仔,剧情
181,8.8,我们由奇迹构成 僕らは奇跡でできている,剧情
183,8.8,牵绊的爱 あいくるしい,剧情
185,8.8,X医生：外科医生大门未知子 第5季 ドクターX 外科医・大門未知子 第5季,剧情
158,8.8,笃姬 篤姫,剧情
159,8.8,东京大饭店 グランメゾン東京,剧情
142,8.8,东京塔 東京タワー オカンとボクと、時々、オトン,剧情
157,8.8,家庭连续剧 ホームドラマ!,剧情
147,8.8,假面骑士电王 仮面ライダー電王,剧情
87,8.8,求婚大作战 プロポーズ大作戦,剧情
134,8.8,小豆豆电视台 トットてれび,剧情
140,8.8,回我的家 ゴーイング マイ ホーム,剧情
144,8.8,家族游戏 家族ゲーム,剧情
143,8.8,明天，妈妈不在 明日、ママがいない,剧情
148,8.8,相棒 第10季 相棒 season10,剧情
149,8.8,华丽一族 華麗なる一族,剧情
151,8.8,武田信玄,剧情
156,8.8,少女疑云 少女に何が起こったか,剧情
218,8.7,小梅医生 梅ちゃん先生,剧情
209,8.7,只有吉祥寺是想住的街道吗？ 吉祥寺だけが住みたい街ですか？,剧情
210,8.7,同一屋檐下 ひとつ屋根の下,剧情
212,8.7,靛蓝色的心情 ポルノグラファー～インディゴの気分～,剧情
207,8.7,冰点2001 氷点2001,剧情
213,8.7,恶党：犯罪者追踪调查 悪党～加害者追跡調査～,剧情
216,8.7,铃木老师 鈴木先生,剧情
217,8.7,假面骑士Build 仮面ライダービルド,剧情
222,8.7,吾辈是主妇 吾輩は主婦である,剧情
219,8.7,池袋西口公园 池袋ウエストゲートパーク,剧情
220,8.7,相棒 第12季 相棒 season12,剧情
221,8.7,东京女子图鉴 東京女子図鑑,剧情
204,8.7,勇者义彦与被引导的七人 勇者ヨシヒコと導かれし七人,剧情
223,8.7,X医生：外科医生大门未知子 第2季 ドクターX 外科医・大門未知子 第2期,剧情
226,8.7,星期三的情事 水曜日の情事,剧情
233,8.7,绯红 スカーレット,剧情
242,8.7,洞窟叔叔 洞窟おじさん,剧情
13,8.7,恋爱世纪SP 恋爱世纪特别剧集,剧情
206,8.7,龙樱 ドラゴン桜,剧情
208,8.7,真田丸,剧情
203,8.7,罗斯福游戏 ルーズヴェルト・ゲーム,剧情
174,8.7,重返少年时 君といた未来のために 〜I'll be back〜,剧情
198,8.7,一半，蓝色 半分、青い。,剧情
196,8.7,忍者小英雄 伊賀野カバ丸,剧情
194,8.7,X医生：外科医生大门未知子 第3季 ドクターX 外科医・大門未知子 第3期,剧情
193,8.7,五岛医生诊疗所 Dr.コトー診療所,剧情
187,8.7,SPEC SPEC〜警視庁公安部公安第五課 未詳事件特別対策係事件簿〜,剧情
186,8.7,昨日的美食 きのう何食べた？,剧情
92,8.7,唇膏 リップスティック,剧情
199,8.7,白线流 25岁 白線流し ～二十五歳,剧情
128,8.7,麻辣教师 GTO: Great Teacher Onizuka,剧情
175,8.7,冰上恋人 プライド,剧情
267,8.6,救命病栋24小时 第3季 救命病棟24時 第3シリーズ,剧情
282,8.6,不毛地带 不毛地帯,剧情
265,8.6,龙马传 龍馬伝,剧情
281,8.6,X医生：外科医生大门未知子 第4季 ドクターX～外科医・大門未知子～ 第4期,剧情
260,8.6,相棒 第16季 相棒 season16,剧情
263,8.6,宽松世代又如何SP：纯米吟酿纯情篇 ゆとりですがなにか こんなにうれしいことはない,剧情
261,8.6,没有玫瑰的花店 薔薇のない花屋,剧情
271,8.6,瘟神系列：破门 破門（疫病神シリーズ）,剧情
297,8.6,隐患 ～掌控黑钱的男人～ 不発弾 ～ブラックマネーを操る男～,剧情
258,8.6,约会～恋爱究竟是什么呢～ デート 〜恋とはどんなものかしら〜,剧情
270,8.6,暗金丑岛君 第二季 闇金ウシジマくん Season2,剧情
278,8.6,司法研习八人组 ビギナー,剧情
274,8.6,REPLAY & DESTROY,剧情
255,8.6,相棒 第17季 相棒 season17,剧情
275,8.6,X医生：外科医生大门未知子 第1季 ドクターX 外科医・大門未知子,剧情
276,8.6,现在，很想见你 いま、会いにゆきます,剧情
277,8.6,血疑 赤い疑惑,剧情
279,8.6,医龙2 医龍2～Team Medical Dragon～,剧情
280,8.6,人性的证明 人間の証明,剧情
283,8.6,砂之器 砂の器,剧情
285,8.6,夫妇道 夫婦道,剧情
287,8.6,热血男儿 ホットマン,剧情
288,8.6,世界奇妙物语  第二期 世にも奇妙な物語  第2期,剧情
256,8.6,独眼龙政宗 独眼竜政宗,剧情
259,8.6,昼颜：工作日下午3点的恋人们 昼顔～平日午後3時の恋人たち～,剧情
254,8.6,相棒 第11季 相棒 season11,剧情
238,8.6,阿浅来了 あさが来た,剧情
252,8.6,时效警察归来 帰ってきた時効警察,剧情
225,8.6,女人 Woman,剧情
227,8.6,菜鸟总动员 ROOKIES,剧情
228,8.6,神户日报的7天 神戸新聞の7日間 ～命と向き合った被災記者たちの闘い～,剧情
229,8.6,多谢款待 ごちそうさん,剧情
230,8.6,我们的勇气 未满都市 ぼくらの勇気 未滿都市,剧情
232,8.6,圈套 トリック,剧情
236,8.6,怪怪怪的妻子 ゲゲゲの女房,剧情
246,8.6,铁证悬案：真实之门 第二季 コールドケース ～真実の扉～ シーズン2,剧情
239,8.6,老大 BOSS,剧情
241,8.6,面包和汤和猫咪好天气 パンとスープとネコ日和,剧情
250,8.6,陆王 陸王,剧情
244,8.6,尽管如此 也要活下去 それでも、生きてゆく,剧情
247,8.6,阵平 じんべえ Jinbe,剧情
248,8.6,橙色岁月 オレンジデイズ,剧情
249,8.6,空中情缘 Good luck!!,剧情
329,8.5,小小食杂铺 おかしの家,剧情
317,8.5,人生删除事务所 dele ディーリー,剧情
318,8.5,我的事说来话长 俺の話は長い,剧情
322,8.5,原来你已不在身边 そうか、もう君はいないのか,剧情
324,8.5,行骗天下JP コンフィデンスマンJP,剧情
325,8.5,砾石 石つぶて ～外務省機密費を暴いた捜査二課の男たち～,剧情
326,8.5,庶务二课2 ショムニ 第2期,剧情
327,8.5,民王,剧情
328,8.5,EERIE~看不见的脸 イアリー 見えない顔,剧情
333,8.5,HR,剧情
330,8.5,世界奇妙物语 第三期 世にも奇妙な物語 第3期,剧情
332,8.5,暗之伴走者 闇の伴走者,剧情
313,8.5,暗金丑岛君 第一季 闇金ウシジマくん,剧情
334,8.5,警犬卡尔 刑事犬カール,剧情
335,8.5,白色之春 白い春,剧情
