,grade,title,genre
19,9.4,假面骑士555 仮面ライダー555,动作
3,9.4,假面骑士BLACK 仮面ライダーBLACK,动作
21,9.4,假面骑士BLACK RX 仮面ライダーBLACK RX,动作
1,9.4,奈克瑟斯奥特曼 ウルトラマンネクサス,动作
49,9.3,超星神格兰赛沙 超星神グランセイザー,动作
44,9.3,假面骑士龙骑 仮面ライダー龍騎,动作
52,9.2,假面骑士亚马逊们 第一季 仮面ライダーアマゾンズ,动作
40,9.2,假面骑士AGITO 仮面ライダーアギト,动作
38,9.2,假面骑士EX-AID 仮面ライダーエグゼイド,动作
54,9.2,假面骑士W 仮面ライダーW,动作
43,9.2,盖亚奥特曼 ウルトラマンガイア,动作
72,9.1,迪迦奥特曼 ウルトラマンティガ,动作
5,9.1,假面骑士剑 仮面ライダー剣,动作
102,9.0,假面骑士Drive 仮面ライダードライブ,动作
109,9.0,海贼战队豪快者 海賊戦隊ゴーカイジャー,动作
12,8.9,火之鸟 火の鳥,动作
145,8.9,城市猎人 第四部 シティーハンター'91,动作
141,8.9,假面骑士 仮面ライダー,动作
132,8.9,侍战队真剑者 侍戦隊シンケンジャー,动作
125,8.9,梦比优斯奥特曼 ウルトラマンメビウス,动作
192,8.8,假面骑士V3 仮面ライダーV3,动作
219,8.7,池袋西口公园 池袋ウエストゲートパーク,动作
128,8.7,麻辣教师 GTO: Great Teacher Onizuka,动作
237,8.7,假面骑士4号 dビデオスペシャル 仮面ライダー4号,动作
201,8.7,假面骑士亚马逊们 第二季 仮面ライダーアマゾンズ シーズン2,动作
200,8.7,艾斯奥特曼 ウルトラマンA,动作
190,8.7,假面骑士OOO 仮面ライダーオーズ/OOO,动作
189,8.7,泰罗奥特曼 ウルトラマン タロウ,动作
269,8.6,非公认战队秋叶原连者 非公認戦隊アキバレンジャー,动作
234,8.6,牙狼 牙狼〈GARO〉,动作
290,8.5,雷欧奥特曼 ウルトラマン レオ,动作
284,8.5,BORDER,动作
292,8.5,赛文奥特曼X ウルトラセブン X,动作
315,8.5,假面骑士响鬼 仮面ライダー響鬼,动作
358,8.4,杰克奥特曼 帰ってきたウルトラマン,动作
374,8.4,奥特曼 ウルトラマン,动作
427,8.3,恐龙战队兽连者 恐竜戦隊ジュウレンジャー,动作
433,8.3,爱迪奥特曼 ウルトラマン80,动作
