,grade,title,genre
0,9.4,绅士刑警2 古畑任三郎 2nd Season,喜剧
27,9.4,胜者即是正义 リーガル・ハイ,喜剧
495,9.4,孤独的美食家 第八季 孤独のグルメ Season8,喜剧
36,9.3,胜者即是正义2 リーガルハイ2,喜剧
4,9.3,西瓜 すいか,喜剧
46,9.3,虎与龙 タイガー&ドラゴン,喜剧
23,9.3,续倒数第二次恋爱 続・最後から二番目の恋,喜剧
48,9.3,海女 あまちゃん,喜剧
37,9.2,悠长假期 ロングバケーション,喜剧
51,9.2,绅士刑警1 警部補古畑任三郎 1st season,喜剧
31,9.2,世界奇妙物语 世にも奇妙な物語,喜剧
6,9.1,交响情人梦 のだめカンタービレ,喜剧
77,9.1,倒数第二次恋爱 最後から二番目の恋,喜剧
67,9.1,孤独的美食家 第二季 孤独のグルメ Season2,喜剧
64,9.1,我是大哥大 今日から俺は！！,喜剧
71,9.1,新我们这一家 新あたしンち,喜剧
66,9.1,重版出来！,喜剧
97,9.0,对不起青春 ごめんね青春！,喜剧
98,9.0,跳跃大搜查线 踊る大捜査線,喜剧
96,9.0,木更津猫眼 木更津キャッツアイ,喜剧
145,8.9,城市猎人 第四部 シティーハンター'91,喜剧
113,8.9,最完美的离婚 最高の離婚,喜剧
7,8.9,不能结婚的男人 結婚できない男,喜剧
179,8.8,圈套3 トリック3,喜剧
134,8.8,小豆豆电视台 トットてれび,喜剧
155,8.8,圈套2 トリック2,喜剧
150,8.8,曼哈顿爱情故事 マンハッタンラブストーリー,喜剧
146,8.8,Byplayers 2：如果名配角在TV东晨间剧里挑战无人岛生活的话 バイプレイヤーズ～もしも名脇役がテレ東朝ドラで無人島生活したら～,喜剧
202,8.7,宽松世代又如何 ゆとりですがなにか,喜剧
128,8.7,麻辣教师 GTO: Great Teacher Onizuka,喜剧
222,8.7,吾辈是主妇 吾輩は主婦である,喜剧
90,8.7,富康家族 オー!マイキー,喜剧
14,8.7,55岁开始的Hello Life 55歳からのハローライフ,喜剧
232,8.6,圈套 トリック,喜剧
258,8.6,约会～恋爱究竟是什么呢～ デート 〜恋とはどんなものかしら〜,喜剧
243,8.6,今泉慎太郎,喜剧
272,8.6,架空OL日记 架空OL日記,喜剧
274,8.6,REPLAY & DESTROY,喜剧
263,8.6,宽松世代又如何SP：纯米吟酿纯情篇 ゆとりですがなにか こんなにうれしいことはない,喜剧
268,8.5,萤之光 ホタルノヒカリ,喜剧
294,8.5,庶务二课 ショムニ,喜剧
305,8.5,还有第11人！ 11人もいる!,喜剧
324,8.5,行骗天下JP コンフィデンスマンJP,喜剧
326,8.5,庶务二课2 ショムニ 第2期,喜剧
333,8.5,HR,喜剧
337,8.5,庶务二课3 ショムニFINAL,喜剧
93,8.5,青色火焰 アオイホノオ,喜剧
323,8.5,咕咕是一只猫2 グーグーだって猫である2 -good good the fortune cat-,喜剧
350,8.4,水男孩 ウォーターボーイズ,喜剧
351,8.4,奇迹餐厅 王様のレストラン,喜剧
352,8.4,七彩音和若波 セクシーボイスアンドロボ,喜剧
366,8.4,一吻定情 イタズラなKiss～Love in TOKYO,喜剧
370,8.4,住住,喜剧
387,8.4,时效警察 時効警察,喜剧
340,8.4,一吻定情 イタズラなKiss,喜剧
398,8.4,2010 THE GAME ～Boy's Film Show～,喜剧
341,8.4,热海的搜查官 熱海の捜査官,喜剧
392,8.3,咕咕是一只猫 グーグーだって猫である,喜剧
434,8.3,生田家的早晨 生田家の朝,喜剧
425,8.3,派遣员的品格 ハケンの品格,喜剧
423,8.3,我是山岸，有何贵干 山岸ですがなにか,喜剧
396,8.3,料理仙姬 おせん,喜剧
393,8.3,父女七日变 パパとムスメの7日間,喜剧
452,8.3,新警视厅搜查一课9系 第三季 新・警視庁捜査一課9係 season3（第6シリーズ）,喜剧
440,8.3,发达之路 お金がない,喜剧
437,8.3,水晶之恋 理想の結婚,喜剧
408,8.3,逃避虽可耻但有用 逃げるは恥だが役に立つ,喜剧
309,8.3,黑暗中的十个女人 黒い十人の女,喜剧
307,8.3,我的家里空无一物 わたしのウチには、なんにもない。,喜剧
431,8.3,Byplayers：如果这6名配角共同生活的话 バイプレイヤーズ～もしも6人の名脇役がシェアハウスで暮らしたら～,喜剧
414,8.3,大叔之爱 第二季 おっさんずラブ-in the sky-,喜剧
401,8.3,山田孝之的戛纳电影节 山田孝之のカンヌ映画祭,喜剧
450,8.2,野猪大改造 野ブタ。をプロデュース,喜剧
489,8.2,监狱的公主大人 監獄のお姫さま,喜剧
483,8.2,山田孝之的东京都北区赤羽 山田孝之の東京都北区赤羽,喜剧
479,8.2,好逑双物语 H2〜君といた日々,喜剧
476,8.2,有钱男与贫穷女 リッチマン、プアウーマン,喜剧
463,8.2,跑女战国行 アシガール,喜剧
491,8.2,临死！！江古田 臨死!! 江古田ちゃん,喜剧
448,8.2,堂吉诃德 ドン★キホーテ,喜剧
484,8.2,女子的生活,喜剧
455,8.2,大叔之爱 第一季 おっさんずラブ,喜剧
475,8.2,我的老大、我的英雄 マイ★ボス マイ★ヒーロー,喜剧
482,8.2,圈套 特别篇 TRICK新作スペシャル,喜剧
456,8.2,两个人的独角戏 ふたりモノローグ,喜剧
