,grade,title,genre
37,9.2,悠长假期 ロングバケーション,家庭
30,9.2,冷暖人间 第一部 渡る世間は鬼ばかり 第1シリーズ,家庭
70,9.1,敬启，父亲大人 拝啓、父上樣,家庭
75,9.1,咪姆 ミームいろいろ梦の旅/Meme’s Fantastic Adventure,家庭
76,9.1,导盲犬小Q之一生 盲導犬クィールの一生,家庭
80,9.1,热力17岁 17才,家庭
131,9.0,温柔时刻 優しい時間,家庭
78,9.0,坡道上的家 坂の途中の家,家庭
169,8.8,我家的历史 わが家の歴史,家庭
183,8.8,牵绊的爱 あいくるしい,家庭
166,8.8,与光同行 光とともに…～自閉症児を抱えて～,家庭
90,8.7,富康家族 オー!マイキー,家庭
207,8.7,冰点2001 氷点2001,家庭
186,8.7,昨日的美食 きのう何食べた？,家庭
236,8.6,怪怪怪的妻子 ゲゲゲの女房,家庭
285,8.6,夫妇道 夫婦道,家庭
287,8.6,热血男儿 ホットマン,家庭
276,8.6,现在，很想见你 いま、会いにゆきます,家庭
247,8.6,阵平 じんべえ Jinbe,家庭
321,8.5,夏目漱石之妻 夏目漱石の妻,家庭
305,8.5,还有第11人！ 11人もいる!,家庭
390,8.4,夫妇 夫婦,家庭
343,8.4,同一屋檐下2 ひとつ屋根の下2,家庭
345,8.4,打工仔的梦想房 フリーター、家を買う。,家庭
447,8.3,利家与松 利家とまつ〜加賀百万石物語〜,家庭
434,8.3,生田家的早晨 生田家の朝,家庭
407,8.3,总觉得邻家更幸福 隣の家族は青く見える,家庭
393,8.3,父女七日变 パパとムスメの7日間,家庭
427,8.3,恐龙战队兽连者 恐竜戦隊ジュウレンジャー,家庭
453,8.2,平凡奇迹 ありふれた奇跡,家庭
458,8.2,万福 まんぷく,家庭
472,8.2,住家老爸 アットホㄧム·ダッド,家庭
469,8.2,夏空 なつぞら,家庭
