,grade,title,genre
28,9.4,非自然死亡 アンナチュラル,悬疑
0,9.4,绅士刑警2 古畑任三郎 2nd Season,悬疑
44,9.3,假面骑士龙骑 仮面ライダー龍騎,悬疑
36,9.3,胜者即是正义2 リーガルハイ2,悬疑
34,9.3,绅士刑警3 警部補古畑任三郎 3rd season,悬疑
59,9.2,金田一少年事件簿2 金田一少年の事件簿 第2シリーズ,悬疑
51,9.2,绅士刑警1 警部補古畑任三郎 1st season,悬疑
31,9.2,世界奇妙物语 世にも奇妙な物語,悬疑
74,9.1,四重奏 カルテット,悬疑
60,9.0,X医生：外科医生大门未知子 第6季 ドクターX～外科医・大門未知子〜,悬疑
78,9.0,坡道上的家 坂の途中の家,悬疑
100,9.0,相棒 第8季 相棒 season8,悬疑
85,8.9,金田一少年事件簿1 金田一少年の事件簿 第1シリーズ,悬疑
9,8.9,相棒 第18季 相棒 season18,悬疑
177,8.8,为了N Nのために,悬疑
161,8.8,律政英雄 HERO,悬疑
155,8.8,圈套2 トリック2,悬疑
179,8.8,圈套3 トリック3,悬疑
184,8.8,北斗：一个杀人者的回心转意 北斗-ある殺人者の回心,悬疑
172,8.8,瘟神系列：蝼蛄 螻蛄,悬疑
185,8.8,X医生：外科医生大门未知子 第5季 ドクターX 外科医・大門未知子 第5季,悬疑
187,8.7,SPEC SPEC〜警視庁公安部公安第五課 未詳事件特別対策係事件簿〜,悬疑
220,8.7,相棒 第12季 相棒 season12,悬疑
226,8.7,星期三的情事 水曜日の情事,悬疑
213,8.7,恶党：犯罪者追踪调查 悪党～加害者追跡調査～,悬疑
205,8.7,世界奇妙物语 10周年特别篇 世にも奇妙な物語 10周年,悬疑
15,8.6,继续 ケイゾク,悬疑
246,8.6,铁证悬案：真实之门 第二季 コールドケース ～真実の扉～ シーズン2,悬疑
297,8.6,隐患 ～掌控黑钱的男人～ 不発弾 ～ブラックマネーを操る男～,悬疑
283,8.6,砂之器 砂の器,悬疑
281,8.6,X医生：外科医生大门未知子 第4季 ドクターX～外科医・大門未知子～ 第4期,悬疑
280,8.6,人性的证明 人間の証明,悬疑
255,8.6,相棒 第17季 相棒 season17,悬疑
254,8.6,相棒 第11季 相棒 season11,悬疑
232,8.6,圈套 トリック,悬疑
257,8.6,相棒 第1季 相棒 season1,悬疑
292,8.5,赛文奥特曼X ウルトラセブン X,悬疑
286,8.5,轮到你了 番外篇 房门之内 あなたの番です 扉の向こう,悬疑
298,8.5,大川端侦探社 リバースエッジ 大川端探偵社,悬疑
328,8.5,EERIE~看不见的脸 イアリー 見えない顔,悬疑
355,8.4,诈欺游戏2 ライアーゲーム2,悬疑
344,8.4,黑色皮革手册 黒革の手帖,悬疑
352,8.4,七彩音和若波 セクシーボイスアンドロボ,悬疑
363,8.4,夜叉 YASHA,悬疑
153,8.4,诈欺游戏 ライアーゲーム,悬疑
341,8.4,热海的搜查官 熱海の捜査官,悬疑
347,8.4,3年A班：从现在起，大家都是人质 3年A組 -今から皆さんは、人質です-,悬疑
403,8.3,江户川乱步短篇集2 シリーズ・江戸川乱歩短編集 妖しい愛の物語,悬疑
424,8.3,从天而降的一亿颗星星 空から降る一億の星,悬疑
442,8.3,相棒 第14季 相棒 season14,悬疑
439,8.3,铁证悬案：真实之门 コールドケース～真実の扉～,悬疑
432,8.3,相棒 第15季 相棒 season15,悬疑
420,8.3,绑匪的女儿 翳りゆく夏,悬疑
400,8.3,恋人啊 恋人よ,悬疑
411,8.3,掟上今日子的备忘录 掟上今日子の備忘録,悬疑
399,8.3,非关正义 アンフェア,悬疑
482,8.2,圈套 特别篇 TRICK新作スペシャル,悬疑
481,8.2,烟霞 煙霞-Gold Rush-,悬疑
470,8.2,代笔作家 ゴーストライター,悬疑
467,8.2,百鬼夜行抄,悬疑
462,8.2,神探伽利略 ガリレオ,悬疑
474,8.2,彼得的葬礼 ペテロの葬列,悬疑
