,grade,title,genre
18,9.4,东京爱情故事 東京ラブストーリー,爱情
23,9.3,续倒数第二次恋爱 続・最後から二番目の恋,爱情
47,9.3,轻轻紧握你的手 君の手がささやいている,爱情
37,9.2,悠长假期 ロングバケーション,爱情
74,9.1,四重奏 カルテット,爱情
80,9.1,热力17岁 17才,爱情
6,9.1,交响情人梦 のだめカンタービレ,爱情
69,9.1,玻璃假面 ガラスの仮面,爱情
77,9.1,倒数第二次恋爱 最後から二番目の恋,爱情
104,9.0,白线流 白線流し,爱情
8,8.9,1公升的泪 1リットルの涙,爱情
145,8.9,城市猎人 第四部 シティーハンター'91,爱情
86,8.9,高校教师 高校教師,爱情
113,8.9,最完美的离婚 最高の離婚,爱情
87,8.8,求婚大作战 プロポーズ大作戦,爱情
156,8.8,少女疑云 少女に何が起こったか,爱情
168,8.8,恋爱奇迹 恋の奇跡,爱情
175,8.7,冰上恋人 プライド,爱情
226,8.7,星期三的情事 水曜日の情事,爱情
212,8.7,靛蓝色的心情 ポルノグラファー～インディゴの気分～,爱情
210,8.7,同一屋檐下 ひとつ屋根の下,爱情
207,8.7,冰点2001 氷点2001,爱情
92,8.7,唇膏 リップスティック,爱情
211,8.7,恋爱世纪 ラブ ジェネレーション,爱情
13,8.7,恋爱世纪SP 恋爱世纪特别剧集,爱情
256,8.6,独眼龙政宗 独眼竜政宗,爱情
276,8.6,现在，很想见你 いま、会いにゆきます,爱情
261,8.6,没有玫瑰的花店 薔薇のない花屋,爱情
259,8.6,昼颜：工作日下午3点的恋人们 昼顔～平日午後3時の恋人たち～,爱情
277,8.6,血疑 赤い疑惑,爱情
249,8.6,空中情缘 Good luck!!,爱情
244,8.6,尽管如此 也要活下去 それでも、生きてゆく,爱情
302,8.6,我是一个丑女人吗？ わたしってブスだったの?,爱情
247,8.6,阵平 じんべえ Jinbe,爱情
289,8.5,青鸟 青い鳥,爱情
295,8.5,爱情洗牌 Love Shuffle,爱情
296,8.5,沙滩男孩 ビーチボーイズ,爱情
319,8.5,跟我说爱我 愛していると言ってくれ,爱情
367,8.4,通向婚纱之路 バージンロード,爱情
364,8.4,新闻女郎 ニュースの女,爱情
391,8.4,邂逅 めぐり逢い,爱情
382,8.4,在世界的中心呼唤爱 世界の中心で、愛をさけぶ,爱情
378,8.4,大恋爱：与将我忘记的你 大恋愛～僕を忘れる君と,爱情
368,8.4,魔女的条件 魔女の条件,爱情
344,8.4,黑色皮革手册 黒革の手帖,爱情
361,8.4,夏之雪 Summer Snow,爱情
353,8.4,玻璃假面 ガラスの仮面,爱情
343,8.4,同一屋檐下2 ひとつ屋根の下2,爱情
340,8.4,一吻定情 イタズラなKiss,爱情
366,8.4,一吻定情 イタズラなKiss～Love in TOKYO,爱情
441,8.3,三十拉警报 Over Time-オーバー・タイム,爱情
400,8.3,恋人啊 恋人よ,爱情
444,8.3,东京仙履奇缘 妹よ,爱情
395,8.3,还是不能结婚的男人 まだ結婚できない男,爱情
437,8.3,水晶之恋 理想の結婚,爱情
424,8.3,从天而降的一亿颗星星 空から降る一億の星,爱情
418,8.3,美丽人生 ビューティフルライフ,爱情
414,8.3,大叔之爱 第二季 おっさんずラブ-in the sky-,爱情
454,8.3,29岁的圣诞节 29歳のクリスマス,爱情
455,8.2,大叔之爱 第一季 おっさんずラブ,爱情
469,8.2,夏空 なつぞら,爱情
471,8.2,101次求婚 101回目のプロポーズ,爱情
484,8.2,女子的生活,爱情
449,8.2,漂流教室 ロング・ラブレター〜漂流教室〜,爱情
310,8.2,在爱的名义下 愛という名のもとに,爱情
453,8.2,平凡奇迹 ありふれた奇跡,爱情
476,8.2,有钱男与贫穷女 リッチマン、プアウーマン,爱情
479,8.2,好逑双物语 H2〜君といた日々,爱情
