,grade,title,genre
27,9.4,胜者即是正义 リーガル・ハイ,犯罪
0,9.4,绅士刑警2 古畑任三郎 2nd Season,犯罪
34,9.3,绅士刑警3 警部補古畑任三郎 3rd season,犯罪
36,9.3,胜者即是正义2 リーガルハイ2,犯罪
51,9.2,绅士刑警1 警部補古畑任三郎 1st season,犯罪
59,9.2,金田一少年事件簿2 金田一少年の事件簿 第2シリーズ,犯罪
78,9.0,坡道上的家 坂の途中の家,犯罪
100,9.0,相棒 第8季 相棒 season8,犯罪
95,9.0,相棒 第9季 相棒 season9,犯罪
9,8.9,相棒 第18季 相棒 season18,犯罪
89,8.8,相棒 Pre-Season 相棒・警視庁ふたりだけの特命係,犯罪
184,8.8,北斗：一个杀人者的回心转意 北斗-ある殺人者の回心,犯罪
172,8.8,瘟神系列：蝼蛄 螻蛄,犯罪
148,8.8,相棒 第10季 相棒 season10,犯罪
139,8.8,相棒 第4季 相棒 season4,犯罪
213,8.7,恶党：犯罪者追踪调查 悪党～加害者追跡調査～,犯罪
271,8.6,瘟神系列：破门 破門（疫病神シリーズ）,犯罪
270,8.6,暗金丑岛君 第二季 闇金ウシジマくん Season2,犯罪
257,8.6,相棒 第1季 相棒 season1,犯罪
255,8.6,相棒 第17季 相棒 season17,犯罪
246,8.6,铁证悬案：真实之门 第二季 コールドケース ～真実の扉～ シーズン2,犯罪
15,8.6,继续 ケイゾク,犯罪
317,8.5,人生删除事务所 dele ディーリー,犯罪
336,8.5,99.9：刑事专业律师 第二季 99.9-刑事専門弁護士- SEASON II,犯罪
284,8.5,BORDER,犯罪
325,8.5,砾石 石つぶて ～外務省機密費を暴いた捜査二課の男たち～,犯罪
153,8.4,诈欺游戏 ライアーゲーム,犯罪
352,8.4,七彩音和若波 セクシーボイスアンドロボ,犯罪
355,8.4,诈欺游戏2 ライアーゲーム2,犯罪
452,8.3,新警视厅搜查一课9系 第三季 新・警視庁捜査一課9係 season3（第6シリーズ）,犯罪
442,8.3,相棒 第14季 相棒 season14,犯罪
432,8.3,相棒 第15季 相棒 season15,犯罪
420,8.3,绑匪的女儿 翳りゆく夏,犯罪
419,8.3,暗金丑岛君 第三季 闇金ウシジマくん Season3,犯罪
385,8.3,绝叫 絶叫,犯罪
410,8.3,刑警弓神 刑事ゆがみ,犯罪
439,8.3,铁证悬案：真实之门 コールドケース～真実の扉～,犯罪
474,8.2,彼得的葬礼 ペテロの葬列,犯罪
482,8.2,圈套 特别篇 TRICK新作スペシャル,犯罪
489,8.2,监狱的公主大人 監獄のお姫さま,犯罪
