,grade,title,genre
26,9.5,假面骑士空我 仮面ライダークウガ,科幻
3,9.4,假面骑士BLACK 仮面ライダーBLACK,科幻
19,9.4,假面骑士555 仮面ライダー555,科幻
1,9.4,奈克瑟斯奥特曼 ウルトラマンネクサス,科幻
21,9.4,假面骑士BLACK RX 仮面ライダーBLACK RX,科幻
49,9.3,超星神格兰赛沙 超星神グランセイザー,科幻
44,9.3,假面骑士龙骑 仮面ライダー龍騎,科幻
52,9.2,假面骑士亚马逊们 第一季 仮面ライダーアマゾンズ,科幻
43,9.2,盖亚奥特曼 ウルトラマンガイア,科幻
40,9.2,假面骑士AGITO 仮面ライダーアギト,科幻
72,9.1,迪迦奥特曼 ウルトラマンティガ,科幻
75,9.1,咪姆 ミームいろいろ梦の旅/Meme’s Fantastic Adventure,科幻
99,9.0,仁医 JIN-仁-,科幻
109,9.0,海贼战队豪快者 海賊戦隊ゴーカイジャー,科幻
105,9.0,奥特Q ウルトラQ,科幻
141,8.9,假面骑士 仮面ライダー,科幻
120,8.9,戴拿奥特曼 ウルトラマンダイナ,科幻
116,8.9,假面骑士01 仮面ライダーゼロワン,科幻
12,8.9,火之鸟 火の鳥,科幻
192,8.8,假面骑士V3 仮面ライダーV3,科幻
147,8.8,假面骑士电王 仮面ライダー電王,科幻
174,8.7,重返少年时 君といた未来のために 〜I'll be back〜,科幻
217,8.7,假面骑士Build 仮面ライダービルド,科幻
201,8.7,假面骑士亚马逊们 第二季 仮面ライダーアマゾンズ シーズン2,科幻
190,8.7,假面骑士OOO 仮面ライダーオーズ/OOO,科幻
230,8.6,我们的勇气 未满都市 ぼくらの勇気 未滿都市,科幻
358,8.4,杰克奥特曼 帰ってきたウルトラマン,科幻
363,8.4,夜叉 YASHA,科幻
377,8.4,泰迦奥特曼 ウルトラマンタイガ,科幻
369,8.4,欧布奥特曼 ウルトラマンオーブ,科幻
342,8.4,自动机器人·铁臂阿童木 アストロボーイ 鉄腕アトム,科幻
374,8.4,奥特曼 ウルトラマン,科幻
436,8.3,假面骑士KABUTO 仮面ライダーカブト,科幻
433,8.3,爱迪奥特曼 ウルトラマン80,科幻
494,8.2,颠倒的帕特玛 起始之日 サカサマのパテマ Beginning of the Day,科幻
477,8.2,奈欧斯奥特曼 ウルトラマンネオス,科幻
