target,source,weight
水谷丰,寺胁康文,8
岸部一德,内田有纪,7
铃木砂羽,寺胁康文,7
水谷丰,铃木砂羽,7
内田有纪,岸部一德,7
寺胁康文,铃木砂羽,7
小田切让,松重丰,7
田口浩正,羽田美智子,6
羽田美智子,田口浩正,6
米仓凉子,岸部一德,6
水谷丰,铃木杏树,6
米仓凉子,内田有纪,6
松重丰,小田切让,6
远藤宪一,西田敏行,6
水谷丰,反町隆史,5
津田寛治,羽田美智子,5
羽田美智子,津田寛治,5
小林隆,西村雅彦,5
小林薰,小田切让,5
杉本哲太,浅利阳介,5
西田敏行,岸部一德,5
田村正和,小林隆,5
小林薰,松重丰,5
木村拓哉,松隆子,5
米仓凉子,西田敏行,5
西田敏行,内田有纪,5
岸部一德,西田敏行,5
井ノ原快彦,津田寛治,5
岸部一德,远藤宪一,5
远藤宪一,岸部一德,5
浅利阳介,杉本哲太,5
天海祐希,玉山铁二,5
西田敏行,远藤宪一,5
西村雅彦,小林隆,5
内田有纪,西田敏行,5
井ノ原快彦,羽田美智子,5
米仓凉子,胜村政信,4
川原和久,山西惇,4
米仓凉子,远藤宪一,4
户田惠梨香,寺岛进,4
池田铁洋,阿部隆史,4
中越典子,田口浩正,4
水谷丰,山西惇,4
佐佐木藏之介,阿部隆史,4
水谷丰,川原和久,4
中越典子,羽田美智子,4
吉田羊,光石研,4
凉,寺岛进,4
寺岛进,凉,4
寺岛进,户田惠梨香,4
田口浩正,津田寛治,4
森下爱子,塚本高史,4
田口浩正,井ノ原快彦,4
田村正和,西村雅彦,4
田口浩正,中越典子,4
小田切让,岩松了,4
井ノ原快彦,田口浩正,4
星野源,吉田羊,4
吉田羊,星野源,4
胜村政信,岸部一德,4
户田惠梨香,吉濑美智子,4
室毅,佐藤二朗,4
坂口宪二,阿部隆史,4
渡瀬恒彦,井ノ原快彦,4
渡瀬恒彦,津田寛治,4
坂口宪二,池田铁洋,4
渡瀬恒彦,田口浩正,4
渡瀬恒彦,羽田美智子,4
仲间由纪惠,生濑胜久,4
坂口宪二,岸部一德,4
坂口宪二,小池彻平,4
坂口宪二,夏木真理,4
绫濑遥,小出惠介,4
远藤宪一,内田有纪,4
仲间由纪惠,阿部宽,4
水谷丰,石坂浩二,4
坂口宪二,佐佐木藏之介,4
池田铁洋,岸部一德,4
岸部一德,阿部隆史,4
户田惠梨香,凉,4
佐佐木藏之介,小池彻平,4
内田有纪,远藤宪一,4
佐佐木藏之介,岸部一德,4
池田铁洋,佐佐木藏之介,4
池田铁洋,夏木真理,4
佐佐木藏之介,池田铁洋,4
光石研,松重丰,4
内田有纪,胜村政信,4
凉,户田惠梨香,4
池田铁洋,小池彻平,4
佐佐木藏之介,夏木真理,4
天海祐希,竹野内丰,4
岸部一德,佐佐木藏之介,4
森久保祥太郎,野田顺子,4
岸部一德,池田铁洋,4
森田成一,野田顺子,4
塚本高史,森下爱子,4
津田寛治,井ノ原快彦,4
小出惠介,绫濑遥,4
津田寛治,田口浩正,4
岸部一德,小池彻平,4
羽田美智子,中越典子,4
羽田美智子,井ノ原快彦,4
岸部一德,夏木真理,4
生濑胜久,阿部宽,4
松重丰,光石研,4
小田切让,光石研,4
夏木真理,佐佐木藏之介,4
阿部隆史,池田铁洋,4
阿部隆史,岸部一德,4
阿部隆史,小池彻平,4
阿部隆史,夏木真理,4
夏木真理,小池彻平,4
夏木真理,岸部一德,4
阿部隆史,佐佐木藏之介,4
阿部宽,生濑胜久,4
夏木真理,池田铁洋,4
森久保祥太郎,森田成一,4
夏木真理,阿部隆史,4
山西惇,川原和久,4
山下智久,户田惠梨香,4
阿部宽,野际阳子,4
山下智久,新垣结衣,4
小池彻平,佐佐木藏之介,4
上野树里,瑛太,4
岸部一德,胜村政信,4
野田顺子,森田成一,4
小池彻平,阿部隆史,4
江口洋介,山本耕史,4
胜村政信,内田有纪,4
小池彻平,池田铁洋,4
小池彻平,夏木真理,4
小池彻平,岸部一德,4
佐藤二朗,室毅,4
尾美利德,塚本高史,4
塚本高史,尾美利德,4
杉本哲太,户田惠梨香,3
森田成一,朴璐美,3
绫濑遥,桐谷健太,3
森田成一,桐井大介,3
笹本优子,荻原秀树,3
三石琴乃,置鲇龙太郎,3
菅野美穗,香川照之,3
杉本哲太,凉,3
